"Título de trazado: 2. rope nursery. 07/05/22 "
"N.º","Fecha Tiempo, GMT-06:00","Temp, °C (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Temp)","Intensidad, lux (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Light)","Acoplador adjunto (LGR S/N: 21258717)","Host conectado (LGR S/N: 21258717)","Acoplador separado (LGR S/N: 21258717)","Parado (LGR S/N: 21258717)","Final de archivo (LGR S/N: 21258717)"
105,05/08/22 06:20:00 AM,23.004,301.4,,,,,
106,05/08/22 06:30:00 AM,23.004,355.2,,,,,
107,05/08/22 06:40:00 AM,23.004,1808.3,,,,,
108,05/08/22 06:50:00 AM,23.100,527.4,,,,,
109,05/08/22 07:00:00 AM,23.100,1463.9,,,,,
110,05/08/22 07:10:00 AM,23.196,796.5,,,,,
111,05/08/22 07:20:00 AM,23.196,3272.2,,,,,
112,05/08/22 07:30:00 AM,23.388,1076.4,,,,,
113,05/08/22 07:40:00 AM,23.388,1248.6,,,,,
114,05/08/22 07:50:00 AM,23.388,1722.2,,,,,
115,05/08/22 08:00:00 AM,23.581,1162.5,,,,,
116,05/08/22 08:10:00 AM,23.581,1894.5,,,,,
117,05/08/22 08:20:00 AM,23.484,2152.8,,,,,
118,05/08/22 08:30:00 AM,23.677,1550.0,,,,,
119,05/08/22 08:40:00 AM,23.677,2325.0,,,,,
120,05/08/22 08:50:00 AM,23.677,4477.8,,,,,
121,05/08/22 09:00:00 AM,23.869,1980.6,,,,,
122,05/08/22 09:10:00 AM,23.677,1119.5,,,,,
123,05/08/22 09:20:00 AM,23.677,1722.2,,,,,
124,05/08/22 09:30:00 AM,23.869,2755.6,,,,,
125,05/08/22 09:40:00 AM,23.966,3100.0,,,,,
126,05/08/22 09:50:00 AM,23.869,2497.2,,,,,
127,05/08/22 10:00:00 AM,23.773,8266.7,,,,,
128,05/08/22 10:10:00 AM,24.062,3444.5,,,,,
129,05/08/22 10:20:00 AM,24.062,3100.0,,,,,
130,05/08/22 10:30:00 AM,24.062,2583.4,,,,,
131,05/08/22 10:40:00 AM,24.062,5511.1,,,,,
132,05/08/22 10:50:00 AM,24.255,2755.6,,,,,
133,05/08/22 11:00:00 AM,24.351,2927.8,,,,,
134,05/08/22 11:10:00 AM,24.351,3616.7,,,,,
135,05/08/22 11:20:00 AM,24.545,2755.6,,,,,
136,05/08/22 11:30:00 AM,24.738,3444.5,,,,,
137,05/08/22 11:40:00 AM,24.351,3100.0,,,,,
138,05/08/22 11:50:00 AM,24.448,3616.7,,,,,
139,05/08/22 12:00:00 PM,24.545,3272.2,,,,,
140,05/08/22 12:10:00 PM,24.448,2755.6,,,,,
141,05/08/22 12:20:00 PM,24.351,8611.2,,,,,
142,05/08/22 12:30:00 PM,24.448,2152.8,,,,,
143,05/08/22 12:40:00 PM,24.351,26178.0,,,,,
144,05/08/22 12:50:00 PM,24.158,15844.5,,,,,
145,05/08/22 01:00:00 PM,24.062,2669.5,,,,,
146,05/08/22 01:10:00 PM,24.158,3272.2,,,,,
147,05/08/22 01:20:00 PM,24.062,2152.8,,,,,
148,05/08/22 01:30:00 PM,24.255,3961.1,,,,,
149,05/08/22 01:40:00 PM,24.255,4305.6,,,,,
150,05/08/22 01:50:00 PM,24.158,6200.0,,,,,
151,05/08/22 02:00:00 PM,24.158,8611.2,,,,,
152,05/08/22 02:10:00 PM,24.255,3444.5,,,,,
153,05/08/22 02:20:00 PM,24.158,6200.0,,,,,
154,05/08/22 02:30:00 PM,24.255,2497.2,,,,,
155,05/08/22 02:40:00 PM,24.158,4305.6,,,,,
156,05/08/22 02:50:00 PM,24.158,3100.0,,,,,
157,05/08/22 03:00:00 PM,24.062,8266.7,,,,,
158,05/08/22 03:10:00 PM,24.062,2238.9,,,,,
159,05/08/22 03:20:00 PM,23.869,8611.2,,,,,
160,05/08/22 03:30:00 PM,23.773,4650.0,,,,,
161,05/08/22 03:40:00 PM,23.773,7577.8,,,,,
162,05/08/22 03:50:00 PM,23.677,1894.5,,,,,
163,05/08/22 04:00:00 PM,23.484,559.7,,,,,
164,05/08/22 04:10:00 PM,23.292,1216.3,,,,,
165,05/08/22 04:20:00 PM,23.196,3272.2,,,,,
166,05/08/22 04:30:00 PM,23.388,1894.5,,,,,
167,05/08/22 04:40:00 PM,23.388,925.7,,,,,
168,05/08/22 04:50:00 PM,23.196,1377.8,,,,,
169,05/08/22 05:00:00 PM,23.196,139.9,,,,,
170,05/08/22 05:10:00 PM,23.100,118.4,,,,,
171,05/08/22 05:20:00 PM,23.100,215.3,,,,,
172,05/08/22 05:30:00 PM,23.100,64.6,,,,,
173,05/08/22 05:40:00 PM,23.004,183.0,,,,,
174,05/08/22 05:50:00 PM,23.100,0.0,,,,,
175,05/08/22 06:00:00 PM,23.100,0.0,,,,,
176,05/08/22 06:10:00 PM,23.100,0.0,,,,,
177,05/08/22 06:20:00 PM,23.100,0.0,,,,,
178,05/08/22 06:30:00 PM,23.196,0.0,,,,,
179,05/08/22 06:40:00 PM,23.196,0.0,,,,,
180,05/08/22 06:50:00 PM,23.196,0.0,,,,,
181,05/08/22 07:00:00 PM,23.196,0.0,,,,,
182,05/08/22 07:10:00 PM,23.196,0.0,,,,,
183,05/08/22 07:20:00 PM,23.196,0.0,,,,,
184,05/08/22 07:30:00 PM,23.196,0.0,,,,,
185,05/08/22 07:40:00 PM,23.196,0.0,,,,,
186,05/08/22 07:50:00 PM,23.196,0.0,,,,,
187,05/08/22 08:00:00 PM,23.196,0.0,,,,,
188,05/08/22 08:10:00 PM,23.196,0.0,,,,,
189,05/08/22 08:20:00 PM,23.196,0.0,,,,,
190,05/08/22 08:30:00 PM,23.196,0.0,,,,,
191,05/08/22 08:40:00 PM,23.196,0.0,,,,,
192,05/08/22 08:50:00 PM,23.196,0.0,,,,,
193,05/08/22 09:00:00 PM,23.196,0.0,,,,,
194,05/08/22 09:10:00 PM,23.196,0.0,,,,,
195,05/08/22 09:20:00 PM,23.196,0.0,,,,,
196,05/08/22 09:30:00 PM,23.196,0.0,,,,,
197,05/08/22 09:40:00 PM,23.196,0.0,,,,,
198,05/08/22 09:50:00 PM,23.196,0.0,,,,,
199,05/08/22 10:00:00 PM,23.196,0.0,,,,,
200,05/08/22 10:10:00 PM,23.196,0.0,,,,,
201,05/08/22 10:20:00 PM,23.196,0.0,,,,,
202,05/08/22 10:30:00 PM,23.196,0.0,,,,,
203,05/08/22 10:40:00 PM,23.196,0.0,,,,,
204,05/08/22 10:50:00 PM,23.196,0.0,,,,,
205,05/08/22 11:00:00 PM,23.196,0.0,,,,,
206,05/08/22 11:10:00 PM,23.196,0.0,,,,,
207,05/08/22 11:20:00 PM,23.196,0.0,,,,,
208,05/08/22 11:30:00 PM,23.196,0.0,,,,,
209,05/08/22 11:40:00 PM,23.100,0.0,,,,,
210,05/08/22 11:50:00 PM,23.100,0.0,,,,,
211,05/09/22 12:00:00 AM,23.100,0.0,,,,,
212,05/09/22 12:10:00 AM,23.100,0.0,,,,,
213,05/09/22 12:20:00 AM,23.100,0.0,,,,,
214,05/09/22 12:30:00 AM,23.100,0.0,,,,,
215,05/09/22 12:40:00 AM,23.100,0.0,,,,,
216,05/09/22 12:50:00 AM,23.100,0.0,,,,,
217,05/09/22 01:00:00 AM,23.100,0.0,,,,,
218,05/09/22 01:10:00 AM,23.100,0.0,,,,,
219,05/09/22 01:20:00 AM,23.100,0.0,,,,,
220,05/09/22 01:30:00 AM,23.100,0.0,,,,,
221,05/09/22 01:40:00 AM,23.100,0.0,,,,,
222,05/09/22 01:50:00 AM,23.004,0.0,,,,,
223,05/09/22 02:00:00 AM,23.004,0.0,,,,,
224,05/09/22 02:10:00 AM,23.004,0.0,,,,,
225,05/09/22 02:20:00 AM,23.004,0.0,,,,,
226,05/09/22 02:30:00 AM,23.004,0.0,,,,,
227,05/09/22 02:40:00 AM,23.004,0.0,,,,,
228,05/09/22 02:50:00 AM,23.004,0.0,,,,,
229,05/09/22 03:00:00 AM,22.908,0.0,,,,,
230,05/09/22 03:10:00 AM,22.908,0.0,,,,,
231,05/09/22 03:20:00 AM,22.908,0.0,,,,,
232,05/09/22 03:30:00 AM,22.908,0.0,,,,,
233,05/09/22 03:40:00 AM,22.908,0.0,,,,,
234,05/09/22 03:50:00 AM,22.908,0.0,,,,,
235,05/09/22 04:00:00 AM,22.908,0.0,,,,,
236,05/09/22 04:10:00 AM,22.908,0.0,,,,,
237,05/09/22 04:20:00 AM,22.908,0.0,,,,,
238,05/09/22 04:30:00 AM,22.908,0.0,,,,,
239,05/09/22 04:40:00 AM,23.004,0.0,,,,,
240,05/09/22 04:50:00 AM,23.004,0.0,,,,,
241,05/09/22 05:00:00 AM,23.004,0.0,,,,,
242,05/09/22 05:10:00 AM,22.908,0.0,,,,,
243,05/09/22 05:20:00 AM,22.908,0.0,,,,,
244,05/09/22 05:30:00 AM,22.908,0.0,,,,,
245,05/09/22 05:40:00 AM,22.908,0.0,,,,,
246,05/09/22 05:50:00 AM,22.908,0.0,,,,,
247,05/09/22 06:00:00 AM,22.908,21.5,,,,,
248,05/09/22 06:10:00 AM,22.908,473.6,,,,,
249,05/09/22 06:20:00 AM,22.908,215.3,,,,,
250,05/09/22 06:30:00 AM,22.908,290.6,,,,,
251,05/09/22 06:40:00 AM,23.004,570.5,,,,,
252,05/09/22 06:50:00 AM,23.004,839.6,,,,,
253,05/09/22 07:00:00 AM,23.004,1550.0,,,,,
254,05/09/22 07:10:00 AM,23.004,1076.4,,,,,
255,05/09/22 07:20:00 AM,23.004,1808.3,,,,,
256,05/09/22 07:30:00 AM,23.004,721.2,,,,,
257,05/09/22 07:40:00 AM,23.004,742.7,,,,,
258,05/09/22 07:50:00 AM,23.004,699.7,,,,,
259,05/09/22 08:00:00 AM,23.100,979.5,,,,,
260,05/09/22 08:10:00 AM,23.100,570.5,,,,,
261,05/09/22 08:20:00 AM,23.100,462.9,,,,,
262,05/09/22 08:30:00 AM,23.100,1076.4,,,,,
263,05/09/22 08:40:00 AM,23.196,613.5,,,,,
264,05/09/22 08:50:00 AM,23.196,1377.8,,,,,
265,05/09/22 09:00:00 AM,23.196,559.7,,,,,
266,05/09/22 09:10:00 AM,23.292,6544.5,,,,,
267,05/09/22 09:20:00 AM,23.292,1894.5,,,,,
268,05/09/22 09:30:00 AM,23.388,1151.7,,,,,
269,05/09/22 09:40:00 AM,23.388,9644.5,,,,,
270,05/09/22 09:50:00 AM,23.484,9644.5,,,,,
271,05/09/22 10:00:00 AM,23.581,1722.2,,,,,
272,05/09/22 10:10:00 AM,23.677,13777.9,,,,,
273,05/09/22 10:20:00 AM,23.773,12400.1,,,,,
274,05/09/22 10:30:00 AM,23.773,3272.2,,,,,
275,05/09/22 10:40:00 AM,23.581,6200.0,,,,,
276,05/09/22 10:50:00 AM,23.581,7233.4,,,,,
277,05/09/22 11:00:00 AM,23.581,3788.9,,,,,
278,05/09/22 11:10:00 AM,23.677,3961.1,,,,,
279,05/09/22 11:20:00 AM,23.773,16533.4,,,,,
280,05/09/22 11:30:00 AM,23.773,4477.8,,,,,
281,05/09/22 11:40:00 AM,24.255,2411.1,,,,,
282,05/09/22 11:50:00 AM,23.773,2927.8,,,,,
283,05/09/22 12:00:00 PM,23.966,2755.6,,,,,
284,05/09/22 12:10:00 PM,23.966,3444.5,,,,,
285,05/09/22 12:20:00 PM,24.062,6200.0,,,,,
286,05/09/22 12:30:00 PM,24.062,3444.5,,,,,
287,05/09/22 12:40:00 PM,24.062,4305.6,,,,,
288,05/09/22 12:50:00 PM,24.062,5511.1,,,,,
289,05/09/22 01:00:00 PM,24.062,3788.9,,,,,
290,05/09/22 01:10:00 PM,24.062,11022.3,,,,,
291,05/09/22 01:20:00 PM,24.448,3272.2,,,,,
292,05/09/22 01:30:00 PM,24.255,3444.5,,,,,
293,05/09/22 01:40:00 PM,24.158,2927.8,,,,,
294,05/09/22 01:50:00 PM,24.255,10677.8,,,,,
295,05/09/22 02:00:00 PM,24.255,6200.0,,,,,
296,05/09/22 02:10:00 PM,24.351,2669.5,,,,,
297,05/09/22 02:20:00 PM,24.158,5166.7,,,,,
298,05/09/22 02:30:00 PM,24.255,5511.1,,,,,
299,05/09/22 02:40:00 PM,24.158,2669.5,,,,,
300,05/09/22 02:50:00 PM,24.255,4822.3,,,,,
301,05/09/22 03:00:00 PM,24.351,2066.7,,,,,
302,05/09/22 03:10:00 PM,24.351,2238.9,,,,,
303,05/09/22 03:20:00 PM,24.351,2583.4,,,,,
304,05/09/22 03:30:00 PM,24.255,3444.5,,,,,
305,05/09/22 03:40:00 PM,24.255,3788.9,,,,,
306,05/09/22 03:50:00 PM,24.351,1377.8,,,,,
307,05/09/22 04:00:00 PM,24.255,3616.7,,,,,
308,05/09/22 04:10:00 PM,24.062,2755.6,,,,,
309,05/09/22 04:20:00 PM,24.062,1550.0,,,,,
310,05/09/22 04:30:00 PM,23.869,1248.6,,,,,
311,05/09/22 04:40:00 PM,23.869,1151.7,,,,,
312,05/09/22 04:50:00 PM,23.773,3272.2,,,,,
313,05/09/22 05:00:00 PM,23.677,731.9,,,,,
314,05/09/22 05:10:00 PM,23.484,1550.0,,,,,
315,05/09/22 05:20:00 PM,23.484,871.9,,,,,
316,05/09/22 05:30:00 PM,23.581,172.2,,,,,
317,05/09/22 05:40:00 PM,23.484,559.7,,,,,
318,05/09/22 05:50:00 PM,23.484,204.5,,,,,
319,05/09/22 06:00:00 PM,23.388,21.5,,,,,
320,05/09/22 06:10:00 PM,23.388,0.0,,,,,
321,05/09/22 06:20:00 PM,23.388,0.0,,,,,
322,05/09/22 06:30:00 PM,23.388,0.0,,,,,
323,05/09/22 06:40:00 PM,23.388,0.0,,,,,
324,05/09/22 06:50:00 PM,23.388,0.0,,,,,
325,05/09/22 07:00:00 PM,23.388,0.0,,,,,
326,05/09/22 07:10:00 PM,23.388,0.0,,,,,
327,05/09/22 07:20:00 PM,23.388,0.0,,,,,
328,05/09/22 07:30:00 PM,23.388,0.0,,,,,
329,05/09/22 07:40:00 PM,23.388,0.0,,,,,
330,05/09/22 07:50:00 PM,23.388,0.0,,,,,
331,05/09/22 08:00:00 PM,23.388,0.0,,,,,
332,05/09/22 08:10:00 PM,23.388,0.0,,,,,
333,05/09/22 08:20:00 PM,23.388,0.0,,,,,
334,05/09/22 08:30:00 PM,23.484,0.0,,,,,
335,05/09/22 08:40:00 PM,23.484,0.0,,,,,
336,05/09/22 08:50:00 PM,23.484,0.0,,,,,
337,05/09/22 09:00:00 PM,23.484,0.0,,,,,
338,05/09/22 09:10:00 PM,23.484,0.0,,,,,
339,05/09/22 09:20:00 PM,23.484,0.0,,,,,
340,05/09/22 09:30:00 PM,23.484,0.0,,,,,
341,05/09/22 09:40:00 PM,23.484,0.0,,,,,
342,05/09/22 09:50:00 PM,23.484,0.0,,,,,
343,05/09/22 10:00:00 PM,23.484,0.0,,,,,
344,05/09/22 10:10:00 PM,23.388,0.0,,,,,
345,05/09/22 10:20:00 PM,23.388,0.0,,,,,
346,05/09/22 10:30:00 PM,23.388,0.0,,,,,
347,05/09/22 10:40:00 PM,23.388,0.0,,,,,
348,05/09/22 10:50:00 PM,23.388,0.0,,,,,
349,05/09/22 11:00:00 PM,23.292,0.0,,,,,
350,05/09/22 11:10:00 PM,23.292,0.0,,,,,
351,05/09/22 11:20:00 PM,23.292,0.0,,,,,
352,05/09/22 11:30:00 PM,23.292,0.0,,,,,
353,05/09/22 11:40:00 PM,23.292,0.0,,,,,
354,05/09/22 11:50:00 PM,23.196,0.0,,,,,
355,05/10/22 12:00:00 AM,23.196,0.0,,,,,
356,05/10/22 12:10:00 AM,23.100,0.0,,,,,
357,05/10/22 12:20:00 AM,23.100,0.0,,,,,
358,05/10/22 12:30:00 AM,23.100,0.0,,,,,
359,05/10/22 12:40:00 AM,23.100,0.0,,,,,
360,05/10/22 12:50:00 AM,23.004,0.0,,,,,
361,05/10/22 01:00:00 AM,22.908,0.0,,,,,
362,05/10/22 01:10:00 AM,22.908,0.0,,,,,
363,05/10/22 01:20:00 AM,23.004,0.0,,,,,
364,05/10/22 01:30:00 AM,22.908,0.0,,,,,
365,05/10/22 01:40:00 AM,22.908,0.0,,,,,
366,05/10/22 01:50:00 AM,22.908,0.0,,,,,
367,05/10/22 02:00:00 AM,22.908,0.0,,,,,
368,05/10/22 02:10:00 AM,22.908,0.0,,,,,
369,05/10/22 02:20:00 AM,22.908,0.0,,,,,
370,05/10/22 02:30:00 AM,22.908,0.0,,,,,
371,05/10/22 02:40:00 AM,22.908,0.0,,,,,
372,05/10/22 02:50:00 AM,22.908,0.0,,,,,
373,05/10/22 03:00:00 AM,22.908,0.0,,,,,
374,05/10/22 03:10:00 AM,22.908,0.0,,,,,
375,05/10/22 03:20:00 AM,22.908,0.0,,,,,
376,05/10/22 03:30:00 AM,22.908,0.0,,,,,
377,05/10/22 03:40:00 AM,23.004,0.0,,,,,
378,05/10/22 03:50:00 AM,23.004,0.0,,,,,
379,05/10/22 04:00:00 AM,23.004,0.0,,,,,
380,05/10/22 04:10:00 AM,22.908,0.0,,,,,
381,05/10/22 04:20:00 AM,22.908,0.0,,,,,
382,05/10/22 04:30:00 AM,22.908,0.0,,,,,
383,05/10/22 04:40:00 AM,22.908,0.0,,,,,
384,05/10/22 04:50:00 AM,22.908,0.0,,,,,
385,05/10/22 05:00:00 AM,22.908,0.0,,,,,
386,05/10/22 05:10:00 AM,22.908,0.0,,,,,
387,05/10/22 05:20:00 AM,22.908,0.0,,,,,
388,05/10/22 05:30:00 AM,22.908,0.0,,,,,
389,05/10/22 05:40:00 AM,22.908,0.0,,,,,
390,05/10/22 05:50:00 AM,22.908,43.1,,,,,
391,05/10/22 06:00:00 AM,22.908,129.2,,,,,
392,05/10/22 06:10:00 AM,22.908,150.7,,,,,
393,05/10/22 06:20:00 AM,23.004,419.8,,,,,
394,05/10/22 06:30:00 AM,23.004,236.8,,,,,
395,05/10/22 06:40:00 AM,23.004,333.7,,,,,
396,05/10/22 06:50:00 AM,23.196,667.4,,,,,
397,05/10/22 07:00:00 AM,23.196,2152.8,,,,,
398,05/10/22 07:10:00 AM,23.292,678.1,,,,,
399,05/10/22 07:20:00 AM,23.292,3788.9,,,,,
400,05/10/22 07:30:00 AM,23.292,1227.1,,,,,
401,05/10/22 07:40:00 AM,23.484,1377.8,,,,,
402,05/10/22 07:50:00 AM,23.581,1894.5,,,,,
403,05/10/22 08:00:00 AM,23.581,3444.5,,,,,
404,05/10/22 08:10:00 AM,23.773,5511.1,,,,,
405,05/10/22 08:20:00 AM,23.677,1894.5,,,,,
406,05/10/22 08:30:00 AM,24.062,1463.9,,,,,
407,05/10/22 08:40:00 AM,23.677,2497.2,,,,,
408,05/10/22 08:50:00 AM,23.773,4994.5,,,,,
409,05/10/22 09:00:00 AM,23.869,1894.5,,,,,
410,05/10/22 09:10:00 AM,23.677,2411.1,,,,,
411,05/10/22 09:20:00 AM,23.966,2583.4,,,,,
412,05/10/22 09:30:00 AM,24.062,2325.0,,,,,
413,05/10/22 09:40:00 AM,24.062,2238.9,,,,,
414,05/10/22 09:50:00 AM,23.966,2066.7,,,,,
415,05/10/22 10:00:00 AM,24.062,2152.8,,,,,
416,05/10/22 10:10:00 AM,24.062,2927.8,,,,,
417,05/10/22 10:20:00 AM,24.062,2238.9,,,,,
418,05/10/22 10:30:00 AM,24.062,2066.7,,,,,
419,05/10/22 10:40:00 AM,23.966,3100.0,,,,,
420,05/10/22 10:50:00 AM,24.062,3272.2,,,,,
421,05/10/22 11:00:00 AM,24.062,2927.8,,,,,
422,05/10/22 11:10:00 AM,24.158,2755.6,,,,,
423,05/10/22 11:20:00 AM,24.062,3100.0,,,,,
424,05/10/22 11:30:00 AM,24.158,2669.5,,,,,
425,05/10/22 11:40:00 AM,24.062,8266.7,,,,,
426,05/10/22 11:50:00 AM,24.062,3100.0,,,,,
427,05/10/22 12:00:00 PM,24.062,3100.0,,,,,
428,05/10/22 12:10:00 PM,23.966,4305.6,,,,,
429,05/10/22 12:20:00 PM,24.062,5511.1,,,,,
430,05/10/22 12:30:00 PM,24.062,2927.8,,,,,
431,05/10/22 12:40:00 PM,24.062,6200.0,,,,,
432,05/10/22 12:50:00 PM,24.158,23422.4,,,,,
433,05/10/22 01:00:00 PM,24.351,3100.0,,,,,
434,05/10/22 01:10:00 PM,24.448,3272.2,,,,,
435,05/10/22 01:20:00 PM,24.448,3100.0,,,,,
436,05/10/22 01:30:00 PM,24.351,4477.8,,,,,
437,05/10/22 01:40:00 PM,24.351,5338.9,,,,,
438,05/10/22 01:50:00 PM,24.351,3272.2,,,,,
439,05/10/22 02:00:00 PM,24.448,2411.1,,,,,
440,05/10/22 02:10:00 PM,24.351,2927.8,,,,,
441,05/10/22 02:20:00 PM,24.351,3272.2,,,,,
442,05/10/22 02:30:00 PM,24.255,2927.8,,,,,
443,05/10/22 02:40:00 PM,24.255,6544.5,,,,,
444,05/10/22 02:50:00 PM,24.255,2755.6,,,,,
445,05/10/22 03:00:00 PM,24.255,2927.8,,,,,
